"ELECTION_DATE","ELECTION_NAME","CONTEST_ID","CONTEST_NAME","PRECINCT_NUMBER","WARD","CANDIDATE","PARTY","VOTES"
"4/26/2011","D.C. Special Election","101","TOTAL REGISTERED VOTERS","1","6","TOTAL REGISTERED VOTERS","","3630"
"4/26/2011","D.C. Special Election","102","TOTAL BALLOTS CAST","1","6","TOTAL BALLOTS CAST","","159"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","ALAN PAGE","GRN","2"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","DOROTHY DOUGLAS","DEM","4"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","BRYAN WEAVER","DEM","13"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","ARKAN HAILE","NOP","2"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","JOSHUA LOPEZ","DEM","6"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","PATRICK MARA","REP","30"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","SEKOU BIDDLE","DEM","27"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","TOM BROWN","DEM","10"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","VINCENT ORANGE","DEM","57"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","1","6","WRITE-IN","NON","3"
"4/26/2011","D.C. Special Election","101","TOTAL REGISTERED VOTERS","2","2","TOTAL REGISTERED VOTERS","","848"
"4/26/2011","D.C. Special Election","102","TOTAL BALLOTS CAST","2","2","TOTAL BALLOTS CAST","","35"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","ALAN PAGE","GRN","0"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","DOROTHY DOUGLAS","DEM","1"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","BRYAN WEAVER","DEM","6"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","ARKAN HAILE","NOP","0"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","JOSHUA LOPEZ","DEM","0"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","PATRICK MARA","REP","15"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","SEKOU BIDDLE","DEM","5"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","TOM BROWN","DEM","0"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","VINCENT ORANGE","DEM","5"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","2","2","WRITE-IN","NON","3"
"4/26/2011","D.C. Special Election","101","TOTAL REGISTERED VOTERS","3","2","TOTAL REGISTERED VOTERS","","2472"
"4/26/2011","D.C. Special Election","102","TOTAL BALLOTS CAST","3","2","TOTAL BALLOTS CAST","","334"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","ALAN PAGE","GRN","6"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","DOROTHY DOUGLAS","DEM","9"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","BRYAN WEAVER","DEM","38"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","ARKAN HAILE","NOP","0"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","JOSHUA LOPEZ","DEM","10"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","PATRICK MARA","REP","191"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","SEKOU BIDDLE","DEM","44"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","TOM BROWN","DEM","1"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","VINCENT ORANGE","DEM","27"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","3","2","WRITE-IN","NON","2"
"4/26/2011","D.C. Special Election","101","TOTAL REGISTERED VOTERS","4","2","TOTAL REGISTERED VOTERS","","2730"
"4/26/2011","D.C. Special Election","102","TOTAL BALLOTS CAST","4","2","TOTAL BALLOTS CAST","","247"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","ALAN PAGE","GRN","1"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","DOROTHY DOUGLAS","DEM","4"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","BRYAN WEAVER","DEM","23"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","ARKAN HAILE","NOP","1"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","JOSHUA LOPEZ","DEM","13"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","PATRICK MARA","REP","152"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","SEKOU BIDDLE","DEM","32"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","TOM BROWN","DEM","2"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","VINCENT ORANGE","DEM","16"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","4","2","WRITE-IN","NON","2"
"4/26/2011","D.C. Special Election","101","TOTAL REGISTERED VOTERS","5","2","TOTAL REGISTERED VOTERS","","3956"
"4/26/2011","D.C. Special Election","102","TOTAL BALLOTS CAST","5","2","TOTAL BALLOTS CAST","","432"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","ALAN PAGE","GRN","3"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","DOROTHY DOUGLAS","DEM","2"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","BRYAN WEAVER","DEM","38"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","ARKAN HAILE","NOP","1"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","JOSHUA LOPEZ","DEM","13"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","PATRICK MARA","REP","263"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","SEKOU BIDDLE","DEM","76"
"4/26/2011","D.C. Special Election","103","AT - LARGE MEMBER OF THE COUNCIL","5","2","TOM BROWN","DEM","1"
